,Symbol,Name,Current Price,Current IV,SMA200,SMA50,Price Percentile 13W,Price Percentile 52W,Price Rank 13W,Price Rank 52W,Price Change 13W,Price Change 52W,IV Percentile 13W,IV Percentile 52W,IV Rank 13W,IV Rank 52W,Market Cap
86,ODD,ODDITY Tech Ltd. Class A Ordinary Shares,$60.51,44.00,$54.00,$68.56,18.00%,73.00%,18.96,59.81,-16.00%,62.00%,2.00%,4.00%,25.67,16.86,"$3,378.17M"
87,OKLO,Oklo Inc. Class A common stock,$70.38,79.00,$39.30,$65.82,71.00%,93.00%,62.85,81.29,31.00%,913.00%,0.00%,4.00%,5.07,8.09,"$10,388.74M"
88,OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock,$132.19,49.00,$113.14,$131.15,61.00%,90.00%,73.65,82.78,16.00%,35.00%,87.00%,80.00%,75.74,63.33,"$8,108.68M"
89,ONC,BeOne Medicines Ltd. American Depositary Shares,$313.67,40.00,$239.25,$280.24,94.00%,98.00%,82.20,89.38,32.00%,57.00%,6.00%,15.00%,21.78,29.12,"$34,512.70M"
90,ORCL,Oracle Corporation Common Stock,$236.37,52.00,$181.04,$234.67,58.00%,90.00%,75.97,82.75,46.00%,70.00%,94.00%,94.00%,90.97,59.81,"$663,923.86M"
91,PDD,PDD Holdings Inc. American Depositary Shares,$127.11,44.00,$109.52,$110.33,98.00%,91.00%,94.40,58.34,23.00%,27.00%,73.00%,47.00%,82.95,29.19,"$180,451.26M"
92,PI,Impinj Inc. Common Stock,$176.82,47.00,$125.24,$130.22,98.00%,76.00%,92.68,64.78,52.00%,9.00%,2.00%,10.00%,4.46,5.13,"$5,143.64M"
93,PII,Polaris Inc. Common Stock,$57.15,51.00,$48.67,$48.73,92.00%,62.00%,83.18,46.09,44.00%,-34.00%,26.00%,53.00%,26.65,26.26,"$3,213.24M"
94,PKX,POSCO HOLDINGS INC. American Depositary Shares (Each representing 1/4th of a share of Common Stock),$55.76,42.00,$48.93,$54.01,69.00%,71.00%,69.81,47.27,27.00%,-14.00%,85.00%,82.00%,54.65,32.03,"$18,428.54M"
95,PLTR,Palantir Technologies Inc. Class A Common Stock,$158.74,50.00,$106.35,$153.57,79.00%,95.00%,56.00,80.55,29.00%,415.00%,26.00%,20.00%,24.93,24.07,"$376,585.64M"
96,POWL,Powell Industries Inc. Common Stock,$262.95,51.00,$218.32,$224.01,95.00%,84.00%,88.43,53.40,45.00%,36.00%,0.00%,7.00%,2.45,11.02,"$3,173.42M"
97,PSIX,Power Solutions International Inc. Common Stock,$91.26,87.00,$43.29,$78.04,89.00%,97.00%,63.24,71.34,123.00%,340.00%,9.00%,9.00%,10.97,10.97,"$2,101.70M"
98,PSTG,Pure Storage Inc. Class A Common Stock,$58.33,63.00,$55.86,$56.39,84.00%,72.00%,70.94,60.83,5.00%,-4.00%,92.00%,84.00%,83.58,29.36,"$19,064.09M"
99,PTCT,PTC Therapeutics Inc. Common Stock,$50.57,41.00,$47.94,$48.93,71.00%,82.00%,66.85,72.08,6.00%,45.00%,3.00%,2.00%,18.58,8.44,"$4,017.18M"
100,RAL,Ralliant Corporation Common Stock,$43.75,50.00,$9.67,$38.67,24.00%,24.00%,19.70,19.70,-8.00%,-8.00%,65.00%,65.00%,30.08,30.08,"$4,932.34M"
101,RBLX,Roblox Corporation Class A Common Stock,$117.52,47.00,$76.83,$114.97,58.00%,90.00%,51.07,70.76,38.00%,167.00%,52.00%,56.00%,26.43,24.94,"$81,470.35M"
102,RBRK,Rubrik Inc. Class A Common Stock,$88.77,84.00,$72.88,$87.94,53.00%,87.00%,38.58,80.72,-6.00%,149.00%,82.00%,87.00%,74.26,57.29,"$17,176.40M"
103,RDDT,Reddit Inc. Class A Common Stock,$217.31,62.00,$148.62,$168.46,84.00%,95.00%,76.73,81.92,108.00%,273.00%,11.00%,21.00%,11.96,12.44,"$40,670.91M"
104,REVG,REV Group Inc. Common Stock,$52.31,58.00,$36.85,$48.38,92.00%,98.00%,91.67,95.53,39.00%,71.00%,81.00%,84.00%,69.05,53.39,"$2,552.59M"
105,RKLB,Rocket Lab Corporation Common Stock,$44.38,77.00,$27.43,$40.51,69.00%,92.00%,67.87,81.01,54.00%,558.00%,40.00%,22.00%,46.33,18.00,"$21,273.81M"
106,RMBS,Rambus Inc. Common Stock,$73.77,41.00,$58.53,$67.42,84.00%,96.00%,83.14,89.22,34.00%,64.00%,19.00%,6.00%,12.36,4.00,"$7,937.20M"
107,RNA,Avidity Biosciences Inc. Common Stock,$46.35,83.00,$33.57,$35.73,94.00%,91.00%,90.45,72.02,53.00%,5.00%,44.00%,56.00%,23.26,23.26,"$5,963.08M"
108,ROAD,Construction Partners Inc. Class A Common Stock,$120.60,57.00,$91.69,$106.42,98.00%,100.00%,92.03,96.43,13.00%,85.00%,95.00%,84.00%,36.64,29.07,"$6,764.47M"
109,ROKU,Roku Inc. Class A Common Stock,$94.22,42.00,$77.69,$87.09,98.00%,99.00%,94.36,79.55,31.00%,35.00%,8.00%,4.00%,7.78,7.68,"$13,881.49M"
110,RYTM,Rhythm Pharmaceuticals Inc. Common Stock,$103.27,45.00,$64.09,$81.92,98.00%,100.00%,96.53,97.33,75.00%,107.00%,24.00%,24.00%,12.73,12.73,"$6,859.20M"
111,SEZL,Sezzle Inc. Common Stock,$95.67,53.00,$76.64,$137.25,16.00%,77.00%,11.78,45.42,-13.00%,375.00%,2.00%,1.00%,17.66,17.66,"$3,255.02M"
112,SIG,Signet Jewelers Limited Common Shares,$87.33,64.00,$71.43,$80.75,98.00%,76.00%,95.19,68.80,32.00%,6.00%,81.00%,79.00%,74.79,53.71,"$3,593.65M"
113,SITM,SiTime Corporation Common Stock,$240.98,48.00,$196.80,$210.56,97.00%,94.00%,95.82,83.29,20.00%,67.00%,0.00%,1.00%,2.56,5.38,"$6,266.44M"
